ts_ms,id,temp_c,volt_v,curr_a,fault
0,0x100,40.29,3.707,0.000,0x0
100,0x100,41.50,3.710,-5.080,0x0
200,0x100,42.79,3.715,-5.764,0x0
300,0x100,44.08,3.720,-5.904,0x0
400,0x100,45.37,3.725,-6.047,0x0
500,0x100,46.66,3.730,-5.821,0x0
600,0x100,47.87,3.734,-5.477,0x0
700,0x100,49.08,3.739,-5.847,0x0
800,0x100,50.29,3.744,-5.394,0x0
900,0x100,51.49,3.749,-5.224,0x0
1000,0x100,52.62,3.754,-5.999,0x0
1100,0x100,53.75,3.759,-5.677,0x0
1200,0x100,54.80,3.763,-5.934,0x0
1300,0x100,55.85,3.768,-5.947,0x0
1400,0x100,56.89,3.773,-5.525,0x0
1500,0x100,57.86,3.778,-5.943,0x0
1600,0x100,58.75,3.783,-5.747,0x0
1700,0x100,59.63,3.788,-5.978,0x0
1800,0x100,60.44,3.792,-5.324,0x1
1900,0x100,61.25,3.797,-5.176,0x1
2000,0x100,61.97,3.802,-5.111,0x1
2100,0x100,62.62,3.805,-5.119,0x1
2200,0x100,63.26,3.810,-6.309,0x1
2300,0x100,63.82,3.815,-5.307,0x1
2400,0x100,64.31,3.820,-5.795,0x1
2500,0x100,64.71,3.825,-5.973,0x1
2600,0x100,65.11,3.829,-5.390,0x1
2700,0x100,65.44,3.833,-5.355,0x1
2800,0x100,65.68,3.838,-5.877,0x1
2900,0x100,65.84,3.842,-6.052,0x1
3000,0x100,66.00,3.846,-6.060,0x1
3100,0x100,66.00,3.850,-6.261,0x1
3200,0x100,66.00,3.855,-5.999,0x1
3300,0x100,65.92,3.860,-5.542,0x1
3400,0x100,65.84,3.863,-6.204,0x1
3500,0x100,65.60,3.868,-5.965,0x1
3600,0x100,65.36,3.871,-5.995,0x1
3700,0x100,65.03,3.876,-5.860,0x1
3800,0x100,64.63,3.879,-5.925,0x1
3900,0x100,64.23,3.884,-6.139,0x1
4000,0x100,63.66,3.887,-5.416,0x1
4100,0x100,63.10,3.892,-5.856,0x1
4200,0x100,62.53,3.896,-5.045,0x1
4300,0x100,61.81,3.900,-5.703,0x1
4400,0x100,61.08,3.904,-6.174,0x1
4500,0x100,60.28,3.907,-6.047,0x1
4600,0x100,59.47,3.912,-5.747,0x0
4700,0x100,58.59,3.915,-6.152,0x0
4800,0x100,57.70,3.918,-5.690,0x0
4900,0x100,56.73,3.923,-5.681,0x0
5000,0x100,55.68,3.926,-5.747,0x0
5100,0x100,54.64,3.929,-5.119,0x0
5200,0x100,53.51,3.933,-5.307,0x0
5300,0x100,52.46,3.936,-6.300,0x0
5400,0x100,51.25,3.939,-6.113,0x0
5500,0x100,50.12,3.942,-5.032,0x0
5600,0x100,48.92,3.945,-5.795,0x0
5700,0x100,47.63,3.949,-5.812,0x0
5800,0x100,46.42,3.952,-6.200,0x0
5900,0x100,45.13,3.955,-5.777,0x0
6000,0x100,43.92,3.958,-5.790,0x0
6100,0x100,42.63,3.962,-5.555,0x0
6200,0x100,41.34,3.965,-5.777,0x0
6300,0x100,40.05,3.968,-5.825,0x0
6400,0x100,38.76,3.970,-5.978,0x0
6500,0x100,37.47,3.973,-5.390,0x0
6600,0x100,36.18,3.976,-5.416,0x0
6700,0x100,34.89,3.978,-5.904,0x0
6800,0x100,33.68,3.981,-6.134,0x0
6900,0x100,32.40,3.983,-5.895,0x0
7000,0x100,31.19,3.986,-5.542,0x0
7100,0x100,29.98,3.987,-5.795,0x0
7200,0x100,28.85,3.991,-5.255,0x0
7300,0x100,27.72,3.992,-5.133,0x0
7400,0x100,26.59,3.995,-5.690,0x0
7500,0x100,25.55,3.997,-5.115,0x0
7600,0x100,24.50,3.999,-5.943,0x0
7700,0x100,23.45,4.000,-5.228,0x0
7800,0x100,22.48,4.004,-5.812,0x0
7900,0x100,21.60,4.005,-6.182,0x0
8000,0x100,20.71,4.007,-6.143,0x0
8100,0x100,19.90,4.008,-5.045,0x0
8200,0x100,19.18,4.010,-6.208,0x0
8300,0x100,18.45,4.012,-5.568,0x0
8400,0x100,17.81,4.013,-6.156,0x0
8500,0x100,17.16,4.015,-5.124,0x0
8600,0x100,16.60,4.016,-6.326,0x0
8700,0x100,16.12,4.016,-5.054,0x0
8800,0x100,15.71,4.018,-6.322,0x0
8900,0x100,15.31,4.020,-5.642,0x0
9000,0x100,15.07,4.021,-5.660,0x0
9100,0x100,14.83,4.021,-5.651,0x0
9200,0x100,14.67,4.023,-5.359,0x0
9300,0x100,14.51,4.023,-6.139,0x0
9400,0x100,14.51,4.024,-5.573,0x0
9500,0x100,14.51,4.024,-5.281,0x0
